,店铺名称,店铺星级（50=5星）,人均消费,所在区域,团购
0,猫不理·猫咪咖啡·布偶猫舍,45,54.0,海琴广场,190元 四人撸猫套餐（十六岁以下不接待）
1,喵小院猫咖The Cat Coffee(五四广场店),45,36.0,万象城,39.9元 晚场17-21点单人撸猫套餐
2,春夏秋猫咖啡·猫咪主题咖啡馆,45,34.0,长江路沿线,无
3,狗窝窝Gowow·羊驼·猫咖狗咖,45,76.0,万象城,88元 1-3楼单人通票·撸狗·撸羊驼·撸鸭·撸猫
4,六月猫咖·英短猫舍,50,43.0,台东步行街,39.9元 撸猫单人餐，提供免费WiFi
5,三月猫咖,45,45.0,新都心,99元 双人套餐，包间免费
6,Coffee Meow 米奥猫咖,40,29.0,正阳路,19元 喵星人单人饮品，有赠品
7,柴圆滚滚猫咪咖啡,45,40.0,中央商务区,39.9元 单人超值撸喵体验券
8,布偶猫咖(台东步行街店),35,25.0,台东步行街,36.9元 单人撸猫体验，包间免费
9,Café de DARI 达芮.猫咖啡馆(新城吾悦店),40,52.0,海上嘉年华,无
10,一树喵生撸猫下午茶猫咖啡馆,40,46.0,维客广场,68元 单人限定静享下午茶时光套餐
11,福至猫吉·海景猫咖,40,33.0,融创茂,无
12,猫在云端•猫咪咖啡•布偶猫舍,30,无,丽达购物广场,72.8元 双人撸猫套餐5选2
13,喵町物语·宅猫咖,45,36.0,湛山/太平角,78元 双人撸猫体验
14,杨小喵猫咖,45,31.0,维客广场,55元 双人人套餐，包间免费
15,柴岛日记·柴犬狗咖·猫咖·海景咖啡店,40,44.0,五四广场商圈,128元 双人暖心撸猫撸狗
16,Gowow狗窝窝·楼上有猫咖(五四广场店),40,69.0,万象城,无
17,妙喵屋猫咖,35,29.0,青岛路,49.9元 撸猫双人套餐，提供免费WiFi
18,海边的猫和咖啡馆,45,50.0,湛山/太平角,无
19,你和猫&猫咖,35,43.0,石老人海水浴场商圈,[猫咖]71.9元 双人撸猫券
24,一只狗的猫咖馆·爬宠·阿拉斯加,40,42.0,中央商务区,45.5元 单人撸猫撸狗·爬宠互动体验（谢绝16岁以下儿童）
25,Sweet cat·星愿猫咖,35,31.0,长江路沿线,25.8元 单人撸猫套餐，提供免费WiFi
26,小巫咖啡馆,45,54.0,湛山/太平角,无
27,晴天猫星球·猫咪咖啡,45,69.0,新都心,68.8元 暖冬单人餐❤，提供免费WiFi
28,朵猫猫撸猫咖啡馆,45,44.0,新都心,49.9元 单人撸猫套餐（14周岁以下不接待）
